step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi,h_ave
1,23000000,8547,57.0,13.5361,5.15392,8.95831,-8.668,-0.8074,0.0,0.0,0.0,0.0,0.0,0.0,3.83553076923077
1,23000000,770,6.0,11.2515,13.087,7.77619,7.2628,15.1234,0.0,0.0,0.0,0.0,0.0,0.0,7.87249054054054
1,23000000,8546,57.0,13.72,5.17183,9.30293,-7.5914,0.2692,0.0,0.0,0.0,0.0,0.0,0.0,3.075030263157895
1,23000000,784,6.0,7.78648,14.1566,7.20377,-3.7732,4.0874,0.0,0.0,0.0,0.0,0.0,0.0,6.117543421052631
1,23000000,8548,57.0,13.4647,5.50553,8.79462,-9.7049,-1.8443,0.0,0.0,0.0,0.0,0.0,0.0,3.9439986301369863
1,23000000,8545,57.0,13.7088,4.83841,9.50554,-3.9254,3.9352,0.0,0.0,0.0,0.0,0.0,0.0,3.299764197530864
1,23000000,2857,20.0,11.3303,14.8295,7.36812,2.3775,10.2381,0.0,0.0,0.0,0.0,0.0,0.0,7.606250649350649
1,23000000,8549,57.0,13.295,5.4646,8.43458,-4.4134,3.4472,0.0,0.0,0.0,0.0,0.0,0.0,4.891794736842105
1,23000000,769,6.0,11.4156,13.1099,8.14359,7.5618,15.4224,0.0,0.0,0.0,0.0,0.0,0.0,7.3837487500000005
1,23000000,8550,57.0,13.2245,5.82167,8.264,-17.6363,-9.7757,0.0,0.0,0.0,0.0,0.0,0.0,5.240706410256409
1,23000000,2858,20.0,11.3631,14.8297,7.75869,-1.5453,6.3153,0.0,0.0,0.0,0.0,0.0,0.0,8.34061506849315
1,23000000,2860,20.0,10.8794,14.4845,7.94862,-3.4359,4.4247,0.0,0.0,0.0,0.0,0.0,0.0,8.848276623376623
1,23000000,2625,18.0,3.96394,1.44172,6.3394,2.3737,10.2343,0.0,0.0,0.0,0.0,0.0,0.0,8.0764
1,23000000,2626,18.0,3.57261,1.49774,6.32338,9.8941,17.7547,0.0,0.0,0.0,0.0,0.0,0.0,7.745119047619049
1,23000000,767,6.0,11.8367,13.4747,8.44706,-1.8454,6.0152,0.0,0.0,0.0,0.0,0.0,0.0,7.366233783783786
1,23000000,2859,20.0,11.2679,14.5019,7.93186,3.4701,11.3307,0.0,0.0,0.0,0.0,0.0,0.0,8.70613698630137
1,23000000,1213,9.0,1.5501,2.21787,6.37124,3.5905,11.4511,0.0,0.0,0.0,0.0,0.0,0.0,5.096358333333334
1,23000000,7296,49.0,10.1449,4.65388,14.0508,3.6678,11.5284,0.0,0.0,0.0,0.0,0.0,0.0,9.496328125
1,23000000,205,2.0,5.32995,9.84853,0.794254,5.4284,13.289,0.0,0.0,0.0,0.0,0.0,0.0,8.464328787878786
1,23000000,2663,18.0,15.3454,6.2576,4.42749,4.2064,12.067,0.0,0.0,0.0,0.0,0.0,0.0,8.817349253731342
1,23000000,2637,18.0,0.597727,1.06748,4.87795,0.8913,8.7519,0.0,0.0,0.0,0.0,0.0,0.0,6.9035
1,23000000,197,2.0,3.33264,10.8948,0.458591,6.052,13.9126,0.0,0.0,0.0,0.0,0.0,0.0,8.882883076923076
1,23000000,781,6.0,8.74689,13.8611,7.12852,-7.843,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,8.077618918918919
1,23000000,2662,18.0,15.0131,6.41711,4.33203,4.0806,11.9412,0.0,0.0,0.0,0.0,0.0,0.0,8.863725373134328
1,23000000,1159,8.0,0.684323,2.91301,4.7927,-3.203,4.6576,0.0,0.0,0.0,0.0,0.0,0.0,7.435351428571429
1,23000000,1163,8.0,15.8212,3.8913,4.70175,11.6663,19.5269,0.0,0.0,0.0,0.0,0.0,0.0,9.052277272727272
1,23000000,1162,8.0,15.8079,3.63626,4.97887,15.6522,23.5128,0.0,0.0,0.0,0.0,0.0,0.0,8.130797101449275
1,23000000,1165,8.0,15.7678,4.55054,4.61693,-1.6792,6.1814,0.0,0.0,0.0,0.0,0.0,0.0,9.144632786885243
1,23000000,1160,8.0,0.403666,3.17325,4.72014,-1.0813,6.7794,0.0,0.0,0.0,0.0,0.0,0.0,8.127803030303031
1,23000000,1161,8.0,16.0932,3.39114,5.02767,4.2766,12.1372,0.0,0.0,0.0,0.0,0.0,0.0,8.55310606060606
1,23000000,1164,8.0,15.6651,4.23328,4.82493,-1.3695,6.4911,0.0,0.0,0.0,0.0,0.0,0.0,8.650603076923078
1,23000000,1146,8.0,3.92287,0.721731,4.92108,2.0789,9.9395,0.0,0.0,0.0,0.0,0.0,0.0,10.094126229508197
1,23000000,1166,8.0,16.1528,4.64573,4.66167,2.6539,10.5145,0.0,0.0,0.0,0.0,0.0,0.0,9.212046478873237
1,23000000,2627,18.0,3.54461,1.79394,6.04934,12.0057,19.8663,0.0,0.0,0.0,0.0,0.0,0.0,8.061786153846153
1,23000000,1167,8.0,0.506583,4.9499,4.45665,-1.2335,6.6271,0.0,0.0,0.0,0.0,0.0,0.0,9.823030666666666
1,23000000,1144,8.0,4.42468,0.593797,4.52547,7.6615,15.5221,0.0,0.0,0.0,0.0,0.0,0.0,9.565181355932204
1,23000000,1147,8.0,3.63744,0.945273,5.05766,-2.6462,5.2144,0.0,0.0,0.0,0.0,0.0,0.0,9.841149999999999
1,23000000,1145,8.0,4.16413,0.857937,4.65114,0.7013,8.5619,0.0,0.0,0.0,0.0,0.0,0.0,10.346127419354838
1,23000000,1150,8.0,2.78569,1.44939,4.77093,9.595,17.4556,0.0,0.0,0.0,0.0,0.0,0.0,9.610995081967214
1,23000000,1215,9.0,1.09139,2.31299,5.95067,-1.4056,6.455,0.0,0.0,0.0,0.0,0.0,0.0,5.97610606060606
1,23000000,1143,8.0,4.75325,0.554295,4.74255,2.4142,10.2748,0.0,0.0,0.0,0.0,0.0,0.0,9.306718032786884
1,23000000,1148,8.0,3.3655,1.074,4.80482,6.03,13.8906,0.0,0.0,0.0,0.0,0.0,0.0,9.900438235294118
1,23000000,8544,57.0,13.9555,4.85957,9.8182,-5.4754,2.3852,0.0,0.0,0.0,0.0,0.0,0.0,3.023622077922078
1,23000000,8543,57.0,14.0182,4.51989,9.9853,-5.0109,2.8497,0.0,0.0,0.0,0.0,0.0,0.0,3.526334615384614
1,23000000,2047,14.0,1.64374,7.17683,11.6222,1.5999,9.4605,0.0,0.0,0.0,0.0,0.0,0.0,7.659717567567569
1,23000000,2623,18.0,4.46829,1.15308,6.60482,-1.7562,6.1044,0.0,0.0,0.0,0.0,0.0,0.0,8.67386984126984
1,23000000,5381,36.0,14.8576,1.77829,12.4994,10.819,18.6796,0.0,0.0,0.0,0.0,0.0,0.0,9.745056451612903
1,23000000,8542,57.0,14.2701,4.55251,10.2727,1.069,8.9296,0.0,0.0,0.0,0.0,0.0,0.0,3.1949455696202533
1,23000000,2621,18.0,4.96694,0.935875,6.92611,0.0059,7.8665,0.0,0.0,0.0,0.0,0.0,0.0,8.664692424242425
1,23000000,5380,36.0,15.1671,1.66827,12.7263,8.7506,16.6112,0.0,0.0,0.0,0.0,0.0,0.0,9.467630303030305
1,23000000,2624,18.0,4.07532,1.16027,6.58067,-3.7042,4.1564,0.0,0.0,0.0,0.0,0.0,0.0,8.104575384615385
1,23000000,2622,18.0,4.58299,0.889284,6.85766,-2.1554,5.7052,0.0,0.0,0.0,0.0,0.0,0.0,8.334498437499999
1,23000000,5377,36.0,15.3558,0.898893,12.7786,7.8524,15.713,0.0,0.0,0.0,0.0,0.0,0.0,11.497092857142857
1,23000000,5378,36.0,15.0357,1.06037,12.9082,11.7615,19.6221,0.0,0.0,0.0,0.0,0.0,0.0,11.47585
1,23000000,5379,36.0,15.0656,1.43816,13.0355,7.3938,15.2544,0.0,0.0,0.0,0.0,0.0,0.0,11.076298214285714
