step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6
3600,36000000,7745,52,7.084846,9.793591,13.369391,-5.842,0.598,0.064407884469836,0.118215665453459,0.0861285520384075,0.0561337035779895,0.0598830977696214,0.414564,17,-0.710292105263158,1,-5.234,-6.04716666666667,-5.81251851851852,-5.17730769230769,-6.10417777777778,-5.89549253731343
3600,36000000,7746,52,7.389646,9.583991,13.529891,-5.683,0.7037,0.0714745980388436,0.151013496613863,0.109474165971508,0.0590395373070778,0.0488956348808468,0.455056,17,-0.885904054054054,0,-5.18975,-5.65828571428571,-5.61621428571429,-5.29708,-5.78684444444444,-5.847640625
3600,36000000,7747,52,7.735346,9.739891,13.475891,-5.638,0.6851,0.0647947758533998,0.149585015848848,0.106216062459539,0.0537253928319836,0.0412195231906102,0.373824,15,-0.5088875,0,-5.56433333333333,-5.11255555555556,-5.88170833333333,-5.79169565217391,-5.61074,-5.72906349206349
3600,36000000,7748,52,8.008846,9.528561,13.636191,-5.562,0.7066,0.0642214555076113,0.154460462498866,0.102293874589299,0.0521435513189684,0.0431740359498397,0.390558,16,-0.434430434782609,0,-5.344,-5.701625,-5.51924,-5.59016666666667,-5.57243137254902,-5.63996923076923
3600,36000000,7749,52,8.362066,9.685591,13.602491,-5.563,0.5957,0.0607313492343573,0.156290587532185,0.0928242104077499,0.0473187654196165,0.0433212070402049,0.382513,16,0.0459914285714285,0,-4.6995,-4.985125,-5.54744,-5.81888,-5.5536875,-5.69002816901408
3600,36000000,7750,52,8.672526,9.470261,13.692991,-5.563,0.5566,0.0545515298943077,0.145740764446071,0.0873046546549818,0.0482639098666659,0.044763568698977,0.430305,17,-0.0028736842105263,0,-5.282,-5.02388888888889,-5.0175652173913,-5.61575,-5.88715555555556,-5.53140298507463
3600,36000000,7751,52,9.000106,9.699091,13.676191,-5.691,0.5182,0.0460511769906884,0.12552633858448,0.0893088584470601,0.0415885221626475,0.0450280915867299,0.402149,15,-0.390735211267606,0,-5.09625,-4.83811111111111,-5.3408,-5.55460714285714,-5.866775,-5.87739130434783
3600,36000000,7752,52,9.332636,9.500361,13.765491,-5.648,0.4646,0.0429895677639807,0.10403013986933,0.0916683607407706,0.039248014812705,0.0405787495733299,0.464578,19,-0.266336842105263,0,-4.19125,-5.195125,-5.26475,-5.49807692307692,-5.75909302325581,-6.18545205479452
3600,36000000,7753,52,9.639946,9.745891,13.822491,-5.741,0.3796,0.0254887505962742,0.0994563199383485,0.082464045602039,0.0402795018658578,0.0448937711222472,0.401677,16,-0.279884810126582,0,-4.593,-4.9784,-5.65178260869565,-5.3435,-5.80746666666667,-6.23524590163934
3600,36000000,7754,52,9.976046,9.561791,13.947791,-5.801,0.107,0.0228379579703663,0.0953774484725911,0.0745543622869333,0.0414714650885926,0.0371253448884249,0.420234,16,-0.121805952380952,1,-4.74325,-5.723375,-5.12691304347826,-5.84997222222222,-5.91038461538462,-6.30412698412698
