step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_i,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6,Cluster_Label
1580,15800000,67,1,15.243698,0.187775,3.317958,-5.655,-0.0627,0.0336409872766269,0.110550478916871,0.108370040992744,0.044029355468732,0.0382634292255272,0.491344,16,-0.128158928571429,0,-6.92,-4.251,-4.89275,-6.35292307692308,-5.74796296296296,-5.50719444444444,-5.51790476190476,0
1580,15800000,68,1,14.918498,0.40304,3.302928,-5.638,0.0901,0.0158080250037447,0.113018330676264,0.142939284193564,0.0507123459968464,0.0437222080239618,0.41476,14,-1.03339824561404,0,-2.962,-5.99166666666667,-6.51125,-5.92611111111111,-5.83418181818182,-5.71251111111111,-5.33096774193549,0
1580,15800000,69,1,14.984098,0.768597,3.168128,-5.583,-0.0967,0.0434654941594906,0.149790237480581,0.165630301244075,0.0752539604819666,0.0653729117350128,0.509629,17,0.339258461538462,0,-5.265,-5.53225,-7.11425,-5.42871428571428,-5.75035483870968,-5.66936956521739,-5.53757777777778,0
1580,15800000,70,1,14.725898,0.964307,2.956518,-5.63,0.3197,0.0482607896941361,0.133374969014298,0.137071373445674,0.0580305993055976,0.0647970497366094,0.55614,17,-0.579636764705883,0,-5.79,-4.768,-7.4018,-5.53670588235294,-5.75284,-5.465,-5.80543137254902,0
1580,15800000,71,1,14.377298,0.954637,3.148098,-5.756,0.5066,0.0426653578514902,0.149811767771013,0.173420799035071,0.0734846450169494,0.0684599532580504,0.460458,15,-1.087659375,0,-6.457,-4.9685,-6.51533333333333,-6.32425,-5.78878571428571,-5.58732608695652,-5.88457142857143,1
1580,15800000,72,1,14.078598,1.184097,3.014948,-5.736,0.5758,0.0291179616470891,0.15126987570688,0.166555790302681,0.0656490657928744,0.0758004846970337,0.521685,14,-1.93944647887324,0,-4.388,-5.7155,-6.18625,-6.22745833333333,-5.6858275862069,-5.63137142857143,-5.73432394366197,1
1580,15800000,73,1,13.780198,1.233907,3.278758,-5.962,0.6948,0.0193922664495292,0.174830959811215,0.214823829602266,0.0749880935493696,0.0801367568532893,0.437283,14,-2.68808904109589,1,-4.431,-5.4765,-5.094,-6.63378571428572,-5.84565217391304,-5.92575510204082,-5.95831578947368,1
1580,15800000,74,1,13.481998,1.433627,3.132758,-5.918,0.7182,0.028151489510114,0.181072296078419,0.185304988207145,0.0731610382741246,0.0719501662324923,0.47381,16,-2.86339857142857,1,-6.184,-5.1825,-6.29083333333333,-6.45788461538462,-5.93903703703704,-5.80185714285714,-5.98959722222222,1
1580,15800000,75,1,13.178998,1.460437,3.411648,-6.247,0.809,0.0099575355201445,0.176592375946876,0.223208438864234,0.0734626583210397,0.0626028299138217,0.405033,15,-3.48413648648649,1,-4.877,-6.60125,-5.99971428571429,-6.36221428571429,-6.45045,-6.16528813559322,-5.90382258064516,1
1580,15800000,76,1,12.849098,1.627087,3.288828,-6.091,0.8381,0.0095419987627642,0.175975427278762,0.218758567518384,0.0833497993572408,0.0649134779149612,0.395867,14,-3.36809594594595,1,-7.034,-7.007,-6.0959,-6.14439285714286,-6.28961904761905,-6.30542553191489,-5.84178571428572,1
