step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi,S_ave_0.4to0.8,S_ave_0.8to1.1,S_ave_1.1to1.5,S_ave_1.5to1.9,S_ave_1.9to2.3,S_ave_2.3to2.7
1,23000000,64,1.0,0.759589,11.441,8.27122,-6.662,0.0,0.0,0.0,0.0,0.0,0.0,-7.57525,-6.351375,-5.745461538461539,-6.034043478260869,-5.50359649122807,-5.370610169491524
1,23000000,65,1.0,1.08934,11.2232,8.27831,-5.903,0.0,0.0,0.0,0.0,0.0,0.0,-7.391,-5.7973333333333334,-5.858375,-5.810096774193546,-5.751395348837209,-5.456098591549295
1,23000000,66,1.0,1.23391,11.1864,7.91001,-5.583,0.0,0.0,0.0,0.0,0.0,0.0,-6.183,-6.0342,-6.095666666666666,-5.955461538461538,-5.686804347826086,-5.6924927536231875
1,23000000,67,1.0,1.58102,11.0094,7.91471,-7.046,0.0,0.0,0.0,0.0,0.0,0.0,-5.452999999999999,-5.624,-6.138000000000001,-5.81825,-5.814581395348838,-5.656050632911392
1,23000000,68,1.0,1.74691,10.9624,7.55663,-5.121,0.0,0.0,0.0,0.0,0.0,0.0,-5.8965000000000005,-5.622285714285714,-6.021269230769231,-5.863869565217391,-5.64634693877551,-5.841710144927535
1,23000000,69,1.0,2.11283,10.8175,7.52629,-5.205,0.0,0.0,0.0,0.0,0.0,0.0,-5.95225,-5.6018333333333326,-6.12052,-5.69688,-5.487897959183674,-5.687697368421052
1,23000000,70,1.0,2.24346,10.7221,7.17984,-5.752,0.0,0.0,0.0,0.0,0.0,0.0,-5.28925,-6.8005,-6.001333333333332,-5.4344,-5.339081081081081,-5.790639999999999
1,23000000,71,1.0,2.62476,10.6595,7.16631,-5.89,0.0,0.0,0.0,0.0,0.0,0.0,-5.32825,-5.554666666666667,-6.206185185185185,-5.4304000000000014,-5.345553191489362,-5.636681159420291
1,23000000,72,1.0,2.76107,10.5184,6.81706,-4.941,0.0,0.0,0.0,0.0,0.0,0.0,-5.7605,-5.1292,-6.3385,-5.365170731707317,-5.457227272727272,-5.331761904761905
1,23000000,73,1.0,2.77096,10.769,6.51854,-5.415,0.0,0.0,0.0,0.0,0.0,0.0,-5.7215,-5.5038,-5.394176470588236,-5.789638888888889,-5.243829787234042,-5.425441176470588
1,23000000,74,1.0,2.9647,10.6414,6.19611,-5.985,0.0,0.0,0.0,0.0,0.0,0.0,-5.1445,-5.6482,-5.5165,-5.2055,-5.463065217391304,-5.568794117647059
1,23000000,75,1.0,2.96714,10.8892,5.89158,-6.07,0.0,0.0,0.0,0.0,0.0,0.0,-4.8275,-5.7295,-5.444928571428571,-5.035869565217391,-5.427509433962264,-5.423734375
1,23000000,76,1.0,3.2176,10.76,5.61662,-4.152,0.0,0.0,0.0,0.0,0.0,0.0,-4.881749999999999,-5.5409999999999995,-5.254956521739131,-5.022,-5.502604166666667,-5.134476923076923
